# 
# 
#        Reader's Digest Word Power 
# 
#        200 questions from the Canadian edition of Reader's Digest
#        Murray Lewis (ed.) Reader’s Digest, 158(932, 934, 935,
#        936, 937, 938, 939, 940), 159(944, 948). 2000-2001.
#        Reader’s Digest Magazines Canada Limited. 
# 
#        http://www.rdnetwork.net/wp/can/ 
# 
# 
#        format: 
# 
#        <problem word> | <solution word> | <other word> | <other word> | <other word> 
# 
# 

# January 2000 - Nature
eddy | whirlpool | current | wave | wind 
bough | branch | barricade | shaded area | fallen tree 
heath | overgrown open land | burned-over area | thin forest | pasture 
scud | run straight | move slowly | falter | vaporize 
williwaw | sudden windblast | rainsquall | songbird | meadow flower 
verge | brink | middle path | bare ground | vantage point 
dale | valley | retreat | shelter | plain 
limpid | clear | still | flat | luminous 
floe | floating ice | frozen stream | lump | driftwood 
cascade | waterfall | thunder | swift current | edge 
undulation | rise and fall | faint motion | ebb and flow | quivering 
crag | steep rock | headland | barren hill | niche 
truss | cluster of flowers | main stem | bunch of grass | fallen petals 
slough | deep mire | quicksand | shower | erosion 
lee | shelter | cove | grassland | riverbank 
brackish | salty | dirty | rough | noisy 
precipice | vertical rockface | wide gap | broken path | descent 
chasm | deep fissure | wide opening | mountain pass | series of falls 
sediment | settles to the bottom | floats | holds together | covers rocks 
torrent | violent flow | drift | swell | deep sound

# March 2000 - Words from recent issues of Reader's Digest
revamp | to revise | lure | decorate | deceive 
adhere | stick to | to return to | trust | pay attention to 
abate | lessen | to tease | fight | throw away 
buffer | protection from damage | amateur fight | bright light | small dog 
sundries | unspecified articles | washables | cheap materials | leftovers 
ad infinitum | endlessly | carelessly | indirectly | carefully 
recoil | strong reaction | a memory | threat | fear 
concede | acknowledge | to approve | connect | go forward 
pantheon | temple for gods | dance hall | jazz festival | art gallery 
rile | annoy | cheer | hurt | confuse 
vicariously | experienced imaginatively | gracefully | doubtfully | devotedly 
nomad | wanderer | exile | loner | enemy 
dexterity | nimbleness | insight | courage | versatility 
bolster | support | to soften | boast | sweeten 
brace | prepare for danger | to scream | hold your breath | close your eyes 
conglomeration | accumulation | total | spongy | concoction | brawl 
laconic | concise | shiftless | sad | harsh 
sequester | set apart | to punish | encircle | investigate 
deplore | regret | to lose heart | plead | pull apart 
dilapidated | falling apart | hairless | in layers | noisy and funny

# April 2000 - Financial terms
acquisition | purchase | greediness | passive consent | inquiry 
average down | buy at lower prices | ease requirements | exchange | lower interest rates 
demand deposit | bank deposit | certified cheque | bank holdup | credit card 
diversify | variety | entertainment | consistency | equality 
book value | company | report | collectible | loan 
convertible | interchangeable | nonspecific | backward | disposable 
infringe | trespass | to lie | add to | encircle 
asset | property | profit | agreement | estimate 
rebate | discount | tax | refund | debt payment 
roll over | reinvest | to avoid | pay out | negotiate 
IPO | initial public offering | international policy organization | inflation probability opinion | in-depth proof offered 
liquidity | cash | stock | real estate | gold 
allocate | to earmark | place | organize | select 
mature | payable | low-grade | late | predictable 
tycoon | powerful leader | sales rep | skilled worker | financial adviser 
vested interest | special claim | any financial transaction | illegal procedure | propaganda 
divest | sell off | to add to | alter | swindle 
paradigm | model | discovery | limit | novelty 
deduct | subtract | to consider | end | weaken 
